"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"SudokuSolver", "What is 'constraint propagation' in the context of Sudoku solvers?", "A. Randomly assigning digits to cells.", "B. The process of making deductions based on a digit placement, which further restricts possibilities for other cells.", "C. Copying the grid to a new state.", "D. Only checking row constraints.", "B"
"SudokuSolver", "When a Sudoku puzzle has multiple solutions, which solution does a basic backtracking algorithm find?", "A. The one that requires the fewest steps.", "B. The one with the smallest sum of digits.", "C. The first one encountered based on the cell selection order and digit trial order.", "D. The one with the largest sum of digits.", "C"
"SudokuSolver", "What is the purpose of the `isValid` helper function in a SudokuSolver?", "A. To check if a digit is prime.", "B. To check if placing a specific digit at a given cell violates any Sudoku rules.", "C. To check if the entire grid is solved.", "D. To count the number of empty cells.", "B"
"SudokuSolver", "If `isValid` returns `false` for a particular digit in a cell, what happens next in the backtracking loop?", "A. The solver moves to the next cell.", "B. The solver tries the next digit for the current cell.", "C. The solver immediately returns `false`.", "D. The solver terminates.", "B"
"SudokuSolver", "What is a common strategy for picking the next empty cell in a basic SudokuSolver?", "A. Randomly picking an empty cell.", "B. Iterating through cells from top-left to bottom-right (row by row, column by column).", "C. Picking the cell with the most pre-filled neighbors.", "D. Picking the cell with the largest row index.", "B"
"SudokuSolver", "How does a solver determine if a Sudoku puzzle is unsolvable?", "A. If it runs out of memory.", "B. If the backtracking algorithm explores all possible branches and no solution is found.", "C. If the initial grid has no empty cells.", "D. If the first digit tried is invalid.", "B"
"SudokuSolver", "What is a 'human-level' Sudoku solver?", "A. One that uses brute-force backtracking.", "B. One that implements logical deduction rules commonly used by humans (e.g., naked pairs, hidden quads) to minimize or avoid backtracking.", "C. One that takes input from a human.", "D. One that solves only easy puzzles.", "B"
"SudokuSolver", "When designing a SudokuSolver, what are the primary considerations for performance?", "A. Size of the grid only.", "B. Efficiency of finding the next empty cell, validity checks, and heuristics for pruning the search space.", "C. Number of input values.", "D. Type of programming language.", "B"
"SudokuSolver", "Can a SudokuSolver be parallelized for faster execution?", "A. No, it's inherently sequential.", "B. Yes, different branches of the search tree can be explored in parallel.", "C. Only for very large grids.", "D. Only if the puzzle is trivial.", "B"
"SudokuSolver", "What is the general concept of 'pruning' in backtracking algorithms like SudokuSolver?", "A. Removing valid solutions.", "B. Cutting off branches of the search tree that are determined to not lead to a solution, based on current constraints.", "C. Adding new branches to the search tree.", "D. Rearranging the grid.", "B"
"SudokuSolver", "If the initial Sudoku grid provided to the solver contains contradictory digits (e.g., two '5's in the same row), what should happen?", "A. The solver should find a solution by overwriting one of them.", "B. The `isValid` check on the initial grid should detect this and the solver should report an invalid input puzzle.", "C. The solver will loop infinitely.", "D. The solver will fill the rest of the cells randomly.", "B"
"SudokuSolver", "What are 'Dancing Links' or Algorithm X, and how do they relate to Sudoku?", "A. A type of Sudoku puzzle variant.", "B. An advanced, highly efficient algorithm for solving exact cover problems, which Sudoku can be mapped to.", "C. A technique for generating random Sudoku puzzles.", "D. A method for visualizing Sudoku solutions.", "B"
"SudokuSolver", "Does a SudokuSolver require memory proportional to the size of the grid?", "A. Yes, O(N*N) for the grid itself, plus recursive stack space.", "B. No, it uses constant memory.", "C. Only if the grid is very large.", "D. Only for the initial puzzle.", "A"
"SudokuSolver", "What is the purpose of a 'find_empty_cell' function in a typical solver?", "A. To count empty cells.", "B. To locate the next empty cell to attempt filling, often in row-major order.", "C. To check if the grid is solved.", "D. To initialize empty cells.", "B"
"SudokuSolver", "If a Sudoku puzzle has multiple valid solutions, and you want to find all of them, how would you modify a basic backtracking solver?", "A. Remove the `return true` statement after finding the first solution and continue backtracking until all paths are explored.", "B. Add a random element to the solver.", "C. Use a different algorithm entirely.", "D. Only print the first solution.", "A"
"SudokuSolver", "What is the complexity of checking validity (row, column, block) for a single cell `(r, c)` and a digit `d`?", "A. O(1)", "B. O(N) where N is grid side length (9 for standard Sudoku).", "C. O(N^2)", "D. O(log N)", "B"
"SudokuSolver", "What is the maximum number of recursive calls in a backtracking SudokuSolver in the worst case?", "A. 9", "B. 81", "C. 9 raised to the power of the number of empty cells.", "D. Constant.", "C"
"SudokuSolver", "What is the 'Rule of 9' in Sudoku?", "A. Each row, column, and 3x3 block must sum to 9.", "B. Each row, column, and 3x3 block must contain digits 1-9 without repetition (summing to 45).", "C. You can only place 9s.", "D. The grid must contain exactly 9 empty cells.", "B"
"SudokuSolver", "What is the primary role of recursion in a backtracking SudokuSolver?", "A. To manage loops.", "B. To explore potential solutions by making a choice, solving the subproblem, and undoing if necessary.", "C. To check base cases only.", "D. To handle user input.", "B"
"SudokuSolver", "What kind of problem is Sudoku from a computational perspective?", "A. A simple search problem.", "B. A constraint satisfaction problem (CSP).", "C. A graph traversal problem.", "D. A sorting problem.", "B"
"SudokuSolver", "Can a SudokuSolver be implemented iteratively instead of recursively?", "A. No, recursion is mandatory.", "B. Yes, by explicitly managing a stack to simulate recursive calls.", "C. Only for very easy puzzles.", "D. Only if the grid is small.", "B"
"SudokuSolver", "What is the practical impact of using heuristics like MCV and LCV in a SudokuSolver?", "A. They guarantee an optimal solution.", "B. They significantly reduce the average-case runtime by pruning the search tree more effectively.", "C. They increase the memory usage.", "D. They make the solver harder to implement.", "B"
"TopologicalSort", "What is the primary purpose of a Topological Sort?", "A. To find the shortest path in a graph.", "B. To sort nodes of a directed acyclic graph (DAG) in linear order.", "C. To detect cycles in a graph.", "D. To find connected components in a graph.", "B"
"TopologicalSort", "A Topological Sort is applicable only to which type of graph?", "A. Undirected graphs.", "B. Directed graphs with cycles.", "C. Directed Acyclic Graphs (DAGs).", "D. Weighted graphs.", "C"
"TopologicalSort", "What property must a graph *not* have for a Topological Sort to be possible?", "A. Isolated vertices.", "B. Multiple edges between two vertices.", "C. Cycles.", "D. Disconnected components.", "C"
"TopologicalSort", "If a graph contains a cycle, what is the outcome of attempting a Topological Sort?", "A. It will successfully sort the nodes, but the cycle will be at the end.", "B. It will detect the cycle and report that a topological sort is not possible.", "C. It will enter an infinite loop.", "D. It will sort all nodes except those in the cycle.", "B"
"TopologicalSort", "Which of the following algorithms can be used to perform a Topological Sort?", "A. Breadth-First Search (BFS) based on in-degrees (Kahn's Algorithm).", "B. Depth-First Search (DFS).", "C. Both A and B.", "D. Dijkstra's Algorithm.", "C"
"TopologicalSort", "In Kahn's Algorithm (BFS-based Topological Sort), what is the key concept used?", "A. Out-degrees of vertices.", "B. In-degrees of vertices.", "C. Edge weights.", "D. Paths from a source.", "B"
"TopologicalSort", "What is the initial step in Kahn's Algorithm?", "A. Start a DFS from an arbitrary node.", "B. Identify all vertices with an in-degree of zero.", "C. Initialize all in-degrees to infinity.", "D. Create a min-priority queue.", "B"
"TopologicalSort", "What data structure is used in Kahn's Algorithm to store vertices with an in-degree of zero?", "A. Stack", "B. Queue", "C. Priority Queue", "D. Hash Map", "B"
"TopologicalSort", "What happens to the in-degrees of neighbors when a vertex is removed from the queue in Kahn's Algorithm?", "A. They increase.", "B. They decrease.", "C. They remain unchanged.", "D. They are reset to zero.", "B"
"TopologicalSort", "If, at the end of Kahn's Algorithm, the number of vertices in the topological sort order is less than the total number of vertices in the graph, what does this imply?", "A. The graph is disconnected.", "B. The graph contains a cycle.", "C. The graph has multiple valid topological sorts.", "D. The algorithm failed.", "B"
"TopologicalSort", "What is the time complexity of Kahn's Algorithm for a graph with `V` vertices and `E` edges?", "A. O(V)", "B. O(E)", "C. O(V + E)", "D. O(V * E)", "C"
"TopologicalSort", "In a DFS-based Topological Sort, when is a vertex added to the sorted list (or stack)?", "A. Before its children are visited.", "B. After all its descendants have been visited (i.e., when it's popped from the recursion stack).", "C. When it is first visited.", "D. Randomly.", "B"
"TopologicalSort", "What data structure is often used to store the result of a DFS-based Topological Sort (before reversing if desired)?", "A. Queue", "B. Stack (or a list that is reversed at the end)", "C. Priority Queue", "D. Array", "B"
"TopologicalSort", "What is the time complexity of DFS-based Topological Sort for a graph with `V` vertices and `E` edges?", "A. O(V)", "B. O(E)", "C. O(V + E)", "D. O(V * E)", "C"
"TopologicalSort", "If a DAG has multiple valid topological sorts, which algorithm would typically find one specific version?", "A. Both Kahn's and DFS-based algorithms, depending on tie-breaking/traversal order.", "B. Only Kahn's algorithm.", "C. Only DFS-based algorithm.", "D. Neither.", "A"
"TopologicalSort", "Which of the following is a real-world application of Topological Sort?", "A. Finding the shortest route on a map.", "B. Scheduling tasks with dependencies (e.g., in project management, compiler instruction scheduling).", "C. Network flow analysis.", "D. Image processing.", "B"
"TopologicalSort", "Consider tasks A, B, C, D, E. Dependencies: A -> B, A -> C, B -> D, C -> D. Which of the following is a valid topological sort?", "A. A, B, C, D, E", "B. A, C, B, D, E", "C. E, A, B, C, D", "D. A, E, B, C, D", "B"
"TopologicalSort", "Can a Topological Sort be applied to a graph with weighted edges?", "A. No, edge weights are not considered.", "B. Yes, but only if all weights are positive.", "C. Yes, but only if all weights are negative.", "D. Yes, but weights are ignored by the topological sort algorithm itself.", "D"
"TopologicalSort", "What is the minimum number of sources (vertices with in-degree 0) a non-empty DAG must have?", "A. 0", "B. 1", "C. 2", "D. V/2", "B"
"TopologicalSort", "What is the minimum number of sinks (vertices with out-degree 0) a non-empty DAG must have?", "A. 0", "B. 1", "C. 2", "D. V/2", "B"
"TopologicalSort", "If you have a graph representing course prerequisites, what would a Topological Sort produce?", "A. A schedule of courses you must take in order.", "B. The longest path of courses.", "C. The shortest path to graduation.", "D. All possible course combinations.", "A"
"TopologicalSort", "A graph `G` is a DAG if and only if its DFS traversal does not yield any:", "A. Tree edges.", "B. Back edges.", "C. Forward edges.", "D. Cross edges.", "B"
"TopologicalSort", "When detecting a cycle using DFS for Topological Sort, what condition indicates a cycle?", "A. Encountering an already visited node.", "B. Encountering a node that is currently in the recursion stack (i.e., gray node).", "C. Encountering a node with an in-degree of zero.", "D. Encountering a leaf node.", "B"
"TopologicalSort", "How many different topological sorts can a given DAG have?", "A. Exactly one.", "B. Exactly zero.", "C. At least one, and potentially many (if there are parallel paths or choices for nodes with zero in-degree).", "D. Unlimited.", "C"
